state,incidentType,expectedResourceLevel,disasterCategory,durationClass,durationDays,declarationDelayDays,fyDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,expectedResourceScore,missionAssignmentCount,uniqueAgencyCount,uniqueMaTypeCount,uniquePriorityCount,responseComplexityScore,missionDensity,agencyDensity,stage1_funded_prediction,ml_base_prediction,true_funding,totalObligatedFunding
MI,Dam/Levee Break,Medium,Unknown,Medium,6,54,2020,True,True,True,2,7,3,2,2,21,1.166666666666667,0.5,1,84120.164,87331.04,87331.04
MN,Biological,Medium,Unknown,Long,1207,78,2020,True,True,True,2,119,15,2,4,1785,0.09859154929577464,0.01242750621375311,1,36117652.0,39206321.62,39206321.62
MO,Biological,Medium,Unknown,Long,1207,66,2020,True,True,True,2,175,30,2,4,5250,0.1449875724937862,0.02485501242750621,1,103023736.0,83230255.52,83230255.52
MO,Severe Storm,Medium-High,Weather,Short,1,67,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MP,Biological,Medium,Unknown,Long,1207,72,2020,True,True,True,2,59,8,2,4,472,0.04888152444076222,0.006628003314001657,1,756810.9,508355.2700000001,508355.2700000001
MS,Severe Storm,Medium-High,Weather,Short,0,41,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Severe Storm,Medium-High,Weather,Short,1,62,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Biological,Medium,Unknown,Long,1207,76,2020,True,True,True,2,102,7,2,4,714,0.08450704225352113,0.00579950289975145,1,90566090.0,113305767.73,113305767.73
MS,Severe Storm,Medium-High,Weather,Short,0,4,2020,True,True,True,3,12,3,1,2,36,0.0,0.0,1,172468.52,255298.16,255298.16
MS,Severe Storm,Medium-High,Weather,Medium,8,73,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Severe Storm,Medium-High,Weather,Short,1,78,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
