outer_fy,threshold
2010,0.8740636539734487
2011,0.8740636539734487
2012,0.8740636539734487
2013,0.8365106210777727
2014,0.8691591660698952
2015,1.0
2016,0.8946773367527519
2017,1.0
2018,1.0
2019,0.5647962889604188
2020,0.5835510863658299
2021,0.857702832192343
2022,1.0
2023,0.8455338330710022
2024,1.0
